         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3211309   78.912    0.000   78.912    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  4817406   53.037    0.000   69.360    0.000 stride_tricks.py:339(_broadcast_to)
        1   36.386   36.386  403.595  403.595 draft.py:20(construct_knn_from_graph)
  1605835   20.610    0.000  220.151    0.000 _index.py:96(__setitem__)
  9635068   16.505    0.000   19.099    0.000 {built-in method numpy.array}
  1605835   13.165    0.000   31.839    0.000 _index.py:267(_unpack_index)
12846721/12846718   12.849    0.000  229.918    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3211309    9.197    0.000   92.140    0.000 fromnumeric.py:69(_wrapreduction)
  1605835    8.490    0.000   75.966    0.000 stride_tricks.py:479(broadcast_arrays)
  1605835    8.141    0.000    8.460    0.000 stride_tricks.py:415(_broadcast_shape)
  1605835    7.916    0.000   60.456    0.000 _index.py:148(_validate_indices)
  3211308    7.791    0.000  100.922    0.000 fromnumeric.py:2160(sum)
  1606674    7.172    0.000    7.173    0.000 {method 'extend' of 'list' objects}
  3211674    6.549    0.000   13.413    0.000 shape_base.py:23(atleast_1d)
  4817509    6.490    0.000    6.490    0.000 {built-in method numpy.asarray}
 25750614    5.540    0.000    5.547    0.000 {built-in method builtins.isinstance}
  1605835    5.420    0.000  226.919    0.000 _lil.py:322(__setitem__)
  1605835    4.944    0.000   85.271    0.000 _index.py:13(_broadcast_arrays)
  3211672    4.785    0.000   17.916    0.000 _sputils.py:198(isintlike)
  1615836    4.556    0.000    5.167    0.000 coreviews.py:81(__getitem__)
  3211308    3.936    0.000  109.703    0.000 <__array_function__ internals>:177(sum)
  1605975    3.838    0.000    3.838    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  4817826    3.808    0.000    6.487    0.000 {built-in method builtins.any}
  3211675    3.529    0.000    5.973    0.000 fromnumeric.py:3164(ndim)
  3214928    3.280    0.000    5.253    0.000 <frozen importlib._bootstrap>:398(parent)
  3211674    3.219    0.000   19.794    0.000 <__array_function__ internals>:177(atleast_1d)
  3211675    3.207    0.000   12.704    0.000 <__array_function__ internals>:177(ndim)
  3211309    3.169    0.000    3.169    0.000 fromnumeric.py:70(<dictcomp>)
  1605802    3.146    0.000   52.948    0.000 stride_tricks.py:545(<listcomp>)
  3211670    3.004    0.000   10.113    0.000 _index.py:376(_compatible_boolean_index)
14579469/14578341    2.973    0.000    2.973    0.000 {built-in method builtins.len}
  8039495    2.867    0.000    2.867    0.000 {built-in method builtins.iter}
  1605835    2.858    0.000    3.093    0.000 _index.py:313(_check_ellipsis)
  4817425    2.843    0.000    4.049    0.000 function_base.py:346(iterable)
  9634812    2.678    0.000    2.678    0.000 stride_tricks.py:344(<genexpr>)
  4817406    2.309    0.000    2.309    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
  4817928    2.270    0.000    2.270    0.000 {built-in method numpy.asanyarray}
  1605835    2.186    0.000    3.333    0.000 _index.py:361(_first_element_bool)
  1605835    2.119    0.000    2.645    0.000 _index.py:352(_maybe_bool_ndarray)
  1605835    2.051    0.000    3.522    0.000 stride_tricks.py:537(<listcomp>)
  3220491    1.976    0.000    1.976    0.000 {method 'rpartition' of 'str' objects}
  1605835    1.967    0.000   80.328    0.000 <__array_function__ internals>:177(broadcast_arrays)
  4817506    1.948    0.000    2.930    0.000 _base.py:1294(isspmatrix)
  1605802    1.783    0.000   24.692    0.000 <__array_function__ internals>:177(broadcast_to)
  3211703    1.601    0.000    1.601    0.000 stride_tricks.py:541(<genexpr>)
  1605836    1.509    0.000    6.667    0.000 graph.py:470(__getitem__)
  4817406    1.501    0.000    1.501    0.000 {method '__exit__' of 'numpy.nditer' objects}
  1605835    1.479    0.000    1.780    0.000 _lil.py:213(_asindices)
  1605802    1.236    0.000   20.794    0.000 stride_tricks.py:366(broadcast_to)
  3221148    1.138    0.000    1.138    0.000 {built-in method builtins.hasattr}
  3211308    1.023    0.000    1.023    0.000 fromnumeric.py:2155(_sum_dispatcher)
  1606082    0.944    0.000    2.047    0.000 {built-in method builtins.all}
  3212100    0.863    0.000    0.863    0.000 {method 'items' of 'dict' objects}
  3211675    0.812    0.000    0.812    0.000 fromnumeric.py:3160(_ndim_dispatcher)
  1605836    0.810    0.000    1.281    0.000 coreviews.py:47(__len__)
  1615838    0.805    0.000    1.318    0.000 coreviews.py:50(__iter__)
  3310797    0.779    0.000    0.779    0.000 {method 'append' of 'list' objects}
  3211670    0.763    0.000    0.763    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     5241    0.719    0.000    0.719    0.000 {built-in method nt.stat}
  1615838    0.611    0.000    0.611    0.000 coreviews.py:44(__init__)
  1606113    0.582    0.000    0.582    0.000 _base.py:119(get_shape)
  3211674    0.577    0.000    0.577    0.000 shape_base.py:19(_atleast_1d_dispatcher)
  1605802    0.437    0.000    0.437    0.000 stride_tricks.py:362(_broadcast_to_dispatcher)
  1605840    0.427    0.000    0.427    0.000 {built-in method _operator.index}
  1605835    0.342    0.000    0.342    0.000 stride_tricks.py:475(_broadcast_arrays_dispatcher)
     1089    0.180    0.000    0.180    0.000 {built-in method marshal.loads}
  138/137    0.159    0.001    0.165    0.001 {built-in method _imp.create_dynamic}
